city_name,place_to_visit,place_name,avg_scoreR
Ahmedabad,Hotels,Grand Mercure Gandhinagar Gift City,4.8
Ahmedabad,Hotels,Novotel Ahmedabad Hotel,4.7
Ahmedabad,Hotels,BloomSuites | Ahmedabad,4.6
Ahmedabad,Hotels,Fortune Select SG Highway,4.5
Ahmedabad,Hotels,Riverview Hotel,4.5
Ahmedabad,Hotels,The Ummed Ahmedabad,4.4
Ahmedabad,Hotels,Belvedere Golf & Country Club,3.8
Ahmedabad,Hotels,Taj Skyline Ahmedabad,3.8
Ahmedabad,Hotels,Hyatt Ahmedabad,3.8
Ahmedabad,Hotels,Treatotel,3.4
Ahmedabad,Restaurants,Yi Jing,4.9
Ahmedabad,Restaurants,The Great Kabab Factory,4.2
Ahmedabad,Restaurants,Atithi,3.7
Ahmedabad,Restaurants,Agashiye,3.4
Ahmedabad,Restaurants,Gordhan Thal,3.4
Ahmedabad,Restaurants,The Green House,3.1
Ahmedabad,Restaurants,650- The Global Kitchen,3.0
Ahmedabad,Restaurants,Vishalla,3.0
Ahmedabad,Restaurants,Sankalp Restaurant,2.8
Ahmedabad,Things,ISKCON Temple,4.2
Ahmedabad,Things,Hathee Singh Jain Temple,4.1
Ahmedabad,Things,Auto World Vintage Car Museum,4.1
Ahmedabad,Things,Sabarmati Riverfront,4.0
Ahmedabad,Things,Kankaria Lake,4.0
Ahmedabad,Things,Swaminarayan Akshardham,3.8
Ahmedabad,Things,Vaishnodevi Temple,3.2
Ahmedabad,Things,Adalaj Step-well,3.1
Ahmedabad,Things,Sidi Saiyyed Mosque,3.1
Ahmedabad,Things,Manek Chowk,2.8
