city_name,place_to_visit,place_name,avg_scoreR
Bangalore,Hotels,Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,4.8
Bangalore,Hotels,Angsana Oasis Spa & Resort,4.7
Bangalore,Hotels,Sarovar Portico,4.6
Bangalore,Hotels,The Park Bangalore,4.5
Bangalore,Hotels,Palm Meadows Resort,4.5
Bangalore,Hotels,Davanam Sarovar Portico Suites,4.5
Bangalore,Hotels,Clarks Exotica Convention Resort & Spa,4.2
Bangalore,Hotels,Royal Orchid Central,4.1
Bangalore,Hotels,The Chancery Pavilion,4.0
Bangalore,Hotels,Svenska Design Hotel,3.8
Bangalore,Restaurants,Byg Brewski Brewing Company,4.9
Bangalore,Restaurants,Lush,4.8
Bangalore,Restaurants,One Atria Cafe,4.7
Bangalore,Restaurants,Royal,4.5
Bangalore,Restaurants,M Cafe,4.3
Bangalore,Restaurants,Time Traveller,4.3
Bangalore,Restaurants,The Druid Garden,4.3
Bangalore,Restaurants,The Fatty Bao,4.3
Bangalore,Restaurants,Nagarjuna,4.3
Bangalore,Restaurants,Rajdhani,4.3
Bangalore,Things,Visvesvaraya Industrial and Technological Museum,4.1
Bangalore,Things,Ragigudda Sri Prasanna Anjaneyaswamy Temple,4.0
Bangalore,Things,Cubbon Park,3.9
Bangalore,Things,UB City,3.9
Bangalore,Things,Orion Mall,3.8
Bangalore,Things, Lalbagh Botanical Garden,3.7
Bangalore,Things,Iskcon Temple,3.5
Bangalore,Things,Bannerghatta national park,3.1
Bangalore,Things,Wonderla amusement park,2.6
Bangalore,Things,Bangalore Palace,1.8
