city_name,place_to_visit,place_name,avg_scoreR
Chandigarh,Hotels,JW Marriott Hotel Chandigarh,4.8
Chandigarh,Hotels,Hometel Chandigarh,4.8
Chandigarh,Hotels,Golden Tulip Chandigarh Panchkula,4.8
Chandigarh,Hotels,Country Inn & Suites by Radisson Zirakpur,4.7
Chandigarh,Hotels,Radisson Chandigarh Zirakpur,4.6
Chandigarh,Hotels,"Lemon Tree Hotel, Chandigarh",4.4
Chandigarh,Hotels,Hyatt Regency Chandigarh,4.3
Chandigarh,Hotels,Taj Chandigarh,4.2
Chandigarh,Hotels,The Lalit Chandigarh,4.2
Chandigarh,Hotels,Hotel Turquoise Chandigarh,1.9
Chandigarh,Restaurants,The Cafe @ JW,4.8
Chandigarh,Restaurants,Saffron,4.6
Chandigarh,Restaurants,Urban Cafe,4.6
Chandigarh,Restaurants,Virgin Courtyard,4.1
Chandigarh,Restaurants,Barbeque Nation,3.8
Chandigarh,Restaurants,Haveli,3.2
Chandigarh,Restaurants,Sindhi's Sweets & Vegetarian Restaurants,3.0
Chandigarh,Restaurants,Gopal Sweets,2.8
Chandigarh,Restaurants,Pal Dhaba,2.3
Chandigarh,Restaurants,Hot Millions,2.0
Chandigarh,Things,Elante mall,4.2
Chandigarh,Things,Sukhna Lake,4.1
Chandigarh,Things,Pinjore Gardens,4.0
Chandigarh,Things,Spiti Valley,3.9
Chandigarh,Things,Chandigarh Rose Garden,3.9
Chandigarh,Things,Chitkul,3.8
Chandigarh,Things,Sunset Point,3.6
Chandigarh,Things,The Rock Garden,3.4
Chandigarh,Things,Timber Trail,3.0
Chandigarh,Things,Manki Point - Hanuman Temple,2.4
