city_name,place_to_visit,place_name,avg_scoreR
Goa,Hotels,Om Sai Beach Huts,4.7
Goa,Hotels,Caravela Beach Resort,4.7
Goa,Hotels,Taj Resort & Convention Centre,4.6
Goa,Hotels,Novotel,4.5
Goa,Hotels,Whispering Palms Beach Resort,4.4
Goa,Hotels,Sobit Sarovar Portico,4.4
Goa,Hotels,The LaLiT Golf & Spa Resort,4.2
Goa,Hotels,Fenicia Riverside Resort,3.8
Goa,Hotels,Antares Beach Resort and Club,3.4
Goa,Hotels,Hard Rock Hotel,3.2
Goa,Restaurants,Copperleaf Porvorim,4.9
Goa,Restaurants,Pickled Mango,4.6
Goa,Restaurants,Spicy Bella,4.6
Goa,Restaurants,Zest,4.5
Goa,Restaurants,Sea Breeze,4.5
Goa,Restaurants,Jardin d'Ulysse,4.3
Goa,Restaurants,Relish,4.3
Goa,Restaurants,Spice Goa,4.1
Goa,Restaurants,Joecons Beach Shack,4.1
Goa,Restaurants,Tuscany Garden,4.0
Goa,Things,Sheek Emporium ,4.8
Goa,Things,Benaulim Beach,4.0
Goa,Things,Basilica of Bom Jesus,4.0
Goa,Things,Palolem Beach,3.7
Goa,Things,Naval Aviation Museum,3.6
Goa,Things,Se Cathedral,3.4
Goa,Things,Chapora Fort,3.4
Goa,Things,Fort Aguada,2.8
Goa,Things,Baga Beach,2.3
Goa,Things,Dudhsagar Falls,1.8
