city_name,place_to_visit,place_name,avg_scoreR
Jaipur,Hotels,Hotel Anuraag Villa,4.8
Jaipur,Hotels,Jaipur Marriott Hotel,4.7
Jaipur,Hotels,The Fern - An Ecotel Hotel,4.7
Jaipur,Hotels,Hotel Golden Tulip,4.7
Jaipur,Hotels,Fairmont Jaipur,4.5
Jaipur,Hotels,Clarks Amer,4.4
Jaipur,Hotels,"Red Fox Hotel, Jaipur",4.2
Jaipur,Hotels,Hilton,4.1
Jaipur,Restaurants,Dragon House,4.8
Jaipur,Restaurants,Monarch Restaurant,4.8
Jaipur,Restaurants,Hawk View Restaurant & Bar,4.7
Jaipur,Restaurants,Okra,4.4
Jaipur,Restaurants,Tapri Pratham,4.3
Jaipur,Restaurants,Jaipur of Chigwell,4.3
Jaipur,Restaurants,Jaipur Palace Santorini,4.1
Jaipur,Restaurants,The Curry Spoon,4.0
Jaipur,Restaurants,Spice Court Restaurant,3.0
Jaipur,Restaurants,Niro's,2.5
Jaipur,Things,Elefantastic,4.8
Jaipur,Things,Birla Mandir Temple,4.1
Jaipur,Things,Chand Baori (Step well),3.8
Jaipur,Things,Amber Palace,3.8
Jaipur,Things,Jantar Mantar,3.4
Jaipur,Things,Jaigarh Fort,3.1
Jaipur,Things,Hawa Mahal - Palace of Wind,3.0
Jaipur,Things,Nahargarh Fort,2.9
Jaipur,Things,City Palace of Jaipur,2.6
Jaipur,Things,Jal Mahal,2.0
