city_name,place_to_visit,place_name,avg_scoreR
Kolkata,Hotels,Pride Plaza Hotel,4.8
Kolkata,Hotels,The Oberoi Grand,4.7
Kolkata,Hotels,The Polo Floatel,4.7
Kolkata,Hotels,The Park,4.4
Kolkata,Hotels,Siamton Inn,4.2
Kolkata,Hotels,The Astor Hotel,4.1
Kolkata,Hotels,Novotel Kolkata Hotel and Residences,3.9
Kolkata,Hotels,The Lalit Great Eastern,3.8
Kolkata,Hotels,Vedic Village Spa Resort,3.4
Kolkata,Hotels,The Peerless Inn,2.8
Kolkata,Restaurants,Ottimo Cucina Italiana,4.7
Kolkata,Restaurants,Grand Market Pavilion,4.6
Kolkata,Restaurants,Dum Phukt,4.3
Kolkata,Restaurants,Eden Pavilion,4.1
Kolkata,Restaurants,Baan Thai,3.9
Kolkata,Restaurants,Oh! Calcutta,3.5
Kolkata,Restaurants,Mocambo,3.4
Kolkata,Restaurants,6 Ballygunge Place,3.4
Kolkata,Restaurants,Arsalan,3.0
Kolkata,Restaurants,Peter Cat,2.4
Kolkata,Things,Eco Tourism Park,4.0
Kolkata,Things,Park Street,3.8
Kolkata,Things,Victoria Memorial Hall,3.7
Kolkata,Things,Mother House,3.7
Kolkata,Things,Science City,3.6
Kolkata,Things,St. Paul's Cathedral,3.5
Kolkata,Things,Howrah Bridge,3.3
Kolkata,Things,Indian Museum,2.9
Kolkata,Things,Dakshineswar Kali Temple,2.9
Kolkata,Things,Jorasanko Thakur Bari,2.8
