city_name,place_to_visit,place_name,avg_scoreR
Mumbai,Hotels,The Fern,4.8
Mumbai,Hotels,Hotel Residency Fort,4.7
Mumbai,Hotels,Ginger Hotel,4.7
Mumbai,Hotels,Goldfinch Hotel,4.7
Mumbai,Hotels,Sofitel Mumbai BKC,4.6
Mumbai,Hotels,Trident,4.5
Mumbai,Hotels,Sahara Star Hotel,4.4
Mumbai,Hotels,The Lalit Hotel,3.6
Mumbai,Hotels,Four Seasons Hotel,3.5
Mumbai,Hotels,Hotel Sea Princess,2.4
Mumbai,Restaurants,Mabruk,4.9
Mumbai,Restaurants,EAST-EAST ASIAN SPICE TRAIL,4.8
Mumbai,Restaurants,Namak,4.8
Mumbai,Restaurants,The Earth Plate,4.8
Mumbai,Restaurants,Rasoi Kitchen & Bar,4.8
Mumbai,Restaurants,Saptami,4.7
Mumbai,Restaurants,Ark Bar,4.7
Mumbai,Restaurants,Lake View Cafe,4.5
Mumbai,Restaurants,Peshawri,4.5
Mumbai,Restaurants,Hornby's Pavilion,4.5
Mumbai,Things,Gateway of India,4.9
Mumbai,Things,Marine Drive,4.0
Mumbai,Things,Essel World,4.0
Mumbai,Things,Nariman Point,4.0
Mumbai,Things,Water Kingdom,3.8
Mumbai,Things,Sanjay Gandhi National Park,3.2
Mumbai,Things,Shree Siddhivinayak,3.2
Mumbai,Things,Chowpatty Beach,2.9
Mumbai,Things,Juhu Beach,2.6
Mumbai,Things,Elephanta Caves,2.5
