city_name,place_to_visit,place_name,avg_scoreR
Pune,Hotels,The Corinthians Resort & Club,4.8
Pune,Hotels,Conrad Pune,4.8
Pune,Hotels,JW Marriott Hotel Pune,4.7
Pune,Hotels,The Orchid Hotel,4.7
Pune,Hotels,The Central Park Hotel,4.7
Pune,Hotels,Hyatt Pune,4.5
Pune,Hotels,Lemon Tree Premier,4.3
Pune,Hotels,St Laurn Koregaon Park,4.1
Pune,Hotels, Four Points By Sheraton Hotel & Serviced Apartments,4.0
Pune,Hotels,Hotel Parc Estique,3.6
Pune,Restaurant,Paasha,4.8
Pune,Restaurant,Spice Kitchen,4.8
Pune,Restaurant,Mosaic,4.6
Pune,Restaurant,Chingari,4.5
Pune,Restaurant,Wadeshwar,3.7
Pune,Restaurant,JJ Garden Vada Pav,3.7
Pune,Restaurant,Malaka Spice,3.6
Pune,Restaurant,Cafe GoodLuck,3.5
Pune,Restaurant,Vaishali Restaurant,3.2
Pune,Restaurant,Blue Nile,3.1
Pune,Things,Darshan Museum,4.5
Pune,Things,Pune-Okayama Friendship Garden,4.1
Pune,Things,Phoenix Market City,4.0
Pune,Things,Raja Dinkar Kelkar Museum,3.7
Pune,Things,Dagadusheth Halwai Ganapati Temple,3.7
Pune,Things,Sinhagad Fort,3.3
Pune,Things,Laxmi Road,3.1
Pune,Things,Bhimashankar Temple,2.8
Pune,Things,Shaniwar Wada,1.6
