city_name,place_to_visit,place_name,avg_scoreR
Udaipur,Hotels,Bamboo_Saa_Resort,4.8
Udaipur,Hotels,The_Oberoi_Udaivilas,4.8
Udaipur,Hotels,The_Leela_Palace,4.7
Udaipur,Hotels,JuSTa_Rajputana,4.6
Udaipur,Hotels,The_Lalit_Laxmi_Vilas_Palace,4.5
Udaipur,Hotels,TatSaraasa_Resort,4.5
Udaipur,Hotels,Radissonr,4.4
Udaipur,Hotels,The_Ananta_Udaipur,4.4
Udaipur,Hotels,The_Ramada,4.3
Udaipur,Restaurant,Myra,4.8
Udaipur,Restaurant,Jaiwana_Haveli,4.7
Udaipur,Restaurant,Restaurant_Harigarh,4.4
Udaipur,Restaurant,Neelam_Restaurant,4.2
Udaipur,Restaurant,Raas_Leela,3.7
Udaipur,Restaurant,Khamma_Ghani_Restaurant,3.6
Udaipur,Restaurant,Sunset_Terrace,3.0
Udaipur,Restaurant,Jagat_Niwas,2.9
Udaipur,Restaurant,Upre,2.7
Udaipur,Restaurant,Ambrai_Restaurant,2.5
Udaipur,Things,Rajasthan_Tour,4.7
Udaipur,Things,Jagdish_Temple,4.0
Udaipur,Things,Lake_Pichola,4.0
Udaipur,Things,Bagore_Ki_Haveli,3.7
Udaipur,Things,Mansapurna_Karni,3.5
Udaipur,Things,Ranakpur_Jain_Temple,3.3
Udaipur,Things,Shri_Ekling_Ji_Temple,3.3
Udaipur,Things,Sahelion_Ki_Bari,3.3
Udaipur,Things,City_Palace,3.0
Udaipur,Things,Sajjangarh_Monsoon,2.7
