city_name,place_to_visit,place_name,avg_scoreR
Varanasi,Hotels,Taj_Ganges,4.6
Varanasi,Hotels,BrijRama_Palace,4.1
Varanasi,Hotels,Radisson_Hotel,4.1
Varanasi,Hotels,Ganpati_Guest_House,3.9
Varanasi,Hotels,Ramada_Plaza,3.5
Varanasi,Restaurant,Shree_Shivay_Thali_Dining,4.5
Varanasi,Restaurant,Bowl_of_Compassion,4.4
Varanasi,Restaurant,Pizzeria_Vaatika_Cafe,4.0
Varanasi,Restaurant,Itihaas_Alley,3.2
Varanasi,Restaurant,Brown_Bread_Bakery,1.9
Varanasi,Things,Assi_Ghat,3.7
Varanasi,Things,Sarnath,3.6
Varanasi,Things,Banaras_Ghats,3.0
Varanasi,Things,Dasaswamedh_Ghat,2.8
